iter	Passed	Remaining
0	173	172916
1	176	88284
2	181	60257
3	184	45954
4	187	37400
5	190	31630
6	194	27536
7	197	24475
8	200	22055
9	203	20100
10	205	18450
11	209	17222
12	212	16130
13	215	15171
14	218	14341
15	221	13623
16	226	13083
17	229	12494
18	231	11944
19	233	11452
20	236	11011
21	238	10592
22	240	10201
23	242	9857
24	244	9538
25	246	9231
26	247	8930
27	249	8649
28	250	8394
29	252	8157
30	253	7920
31	254	7693
32	255	7483
33	256	7293
34	257	7108
35	259	6936
36	260	6791
37	262	6651
38	264	6513
39	265	6366
40	266	6228
41	267	6107
42	270	6014
43	272	5914
44	273	5804
45	274	5701
46	276	5599
47	277	5499
48	278	5400
49	279	5305
50	280	5213
51	281	5123
52	281	5036
53	282	4954
54	283	4877
55	284	4799
56	285	4725
57	286	4658
58	288	4593
59	288	4526
60	289	4460
61	290	4396
62	291	4336
63	292	4279
64	293	4227
65	294	4174
66	296	4123
67	296	4069
68	297	4020
69	299	3973
70	300	3929
71	301	3885
72	302	3840
73	303	3799
74	304	3759
75	305	3716
76	306	3676
77	307	3635
78	308	3597
79	309	3559
80	310	3522
81	311	3485
82	312	3450
83	313	3418
84	314	3380
85	314	3346
86	315	3311
87	316	3281
88	318	3256
89	319	3230
90	320	3204
91	322	3178
92	323	3151
93	324	3123
94	325	3096
95	326	3073
96	327	3047
97	328	3022
98	329	2998
99	330	2973
100	331	2950
101	332	2924
102	333	2901
103	334	2879
104	335	2856
105	336	2834
106	337	2814
107	338	2793
108	339	2773
109	340	2754
110	341	2736
111	342	2716
112	343	2698
113	344	2680
114	345	2661
115	346	2642
116	347	2624
117	348	2604
118	349	2586
119	350	2571
120	351	2554
121	352	2538
122	353	2521
123	354	2505
124	355	2491
125	357	2477
126	358	2462
127	358	2445
128	359	2429
129	360	2413
130	361	2399
131	362	2386
132	364	2372
133	365	2359
134	366	2345
135	367	2332
136	368	2319
137	369	2307
138	370	2294
139	371	2280
140	372	2266
141	373	2254
142	374	2241
143	375	2230
144	376	2218
145	377	2206
146	378	2194
147	379	2183
148	380	2172
149	381	2162
150	382	2151
151	383	2139
152	384	2128
153	385	2116
154	386	2109
155	387	2099
156	388	2088
157	390	2078
158	390	2067
159	391	2057
160	393	2049
161	394	2039
162	395	2030
163	396	2022
164	397	2012
165	399	2005
166	400	1996
167	401	1986
168	402	1977
169	403	1968
170	404	1958
171	405	1952
172	406	1944
173	407	1935
174	408	1926
175	409	1917
176	410	1908
177	411	1901
178	412	1893
179	414	1886
180	414	1877
181	415	1869
182	416	1861
183	418	1855
184	419	1847
185	420	1840
186	421	1832
187	422	1824
188	423	1819
189	425	1812
190	426	1805
191	427	1797
192	428	1790
193	429	1784
194	430	1777
195	431	1770
196	432	1763
197	433	1756
198	434	1748
199	435	1742
200	436	1736
201	437	1729
202	438	1723
203	439	1716
204	440	1709
205	441	1703
206	442	1696
207	444	1690
208	445	1685
209	446	1678
210	447	1672
211	448	1667
212	450	1662
213	451	1656
214	451	1649
215	452	1643
216	453	1636
217	454	1630
218	455	1625
219	456	1619
220	457	1613
221	458	1607
222	459	1602
223	460	1596
224	461	1591
225	463	1586
226	464	1581
227	465	1576
228	466	1571
229	467	1565
230	468	1560
231	469	1555
232	471	1550
233	472	1545
234	473	1541
235	474	1537
236	475	1532
237	477	1527
238	478	1522
239	479	1516
240	480	1513
241	481	1509
242	483	1504
243	484	1499
244	485	1494
245	486	1490
246	487	1485
247	488	1481
248	489	1476
249	491	1473
250	491	1467
251	493	1463
252	494	1458
253	495	1454
254	496	1450
255	497	1445
256	498	1440
257	499	1436
258	500	1431
259	501	1427
260	502	1423
261	503	1419
262	505	1415
263	506	1411
264	507	1407
265	508	1402
266	509	1397
267	509	1392
268	511	1388
269	512	1384
270	513	1381
271	514	1377
272	515	1372
273	516	1368
274	517	1365
275	518	1361
276	520	1357
277	521	1353
278	522	1349
279	523	1345
280	524	1341
281	525	1337
282	526	1333
283	528	1331
284	529	1328
285	531	1326
286	533	1324
287	534	1321
288	536	1319
289	537	1316
290	539	1314
291	540	1311
292	543	1311
293	544	1308
294	545	1304
295	546	1300
296	547	1296
297	549	1293
298	550	1289
299	551	1286
300	552	1283
301	553	1279
302	555	1278
303	557	1276
304	558	1273
305	560	1270
306	561	1267
307	562	1264
308	563	1260
309	564	1257
310	566	1254
311	567	1251
312	568	1248
313	569	1244
314	570	1240
315	571	1236
316	572	1233
317	573	1230
318	575	1228
319	576	1225
320	577	1221
321	578	1217
322	579	1213
323	579	1210
324	580	1206
325	581	1202
326	582	1198
327	583	1195
328	584	1192
329	585	1188
330	586	1185
331	587	1181
332	588	1177
333	588	1174
334	589	1170
335	590	1167
336	591	1164
337	592	1160
338	593	1157
339	594	1154
340	595	1151
341	596	1147
342	597	1144
343	598	1140
344	599	1137
345	600	1134
346	600	1130
347	601	1127
348	602	1124
349	603	1121
350	604	1118
351	605	1115
352	606	1112
353	607	1108
354	608	1105
355	609	1102
356	610	1099
357	611	1096
358	612	1093
359	613	1090
360	614	1086
361	614	1083
362	615	1080
363	616	1077
364	617	1075
365	619	1072
366	620	1069
367	620	1066
368	621	1063
369	622	1060
370	623	1057
371	624	1054
372	625	1052
373	626	1049
374	627	1046
375	628	1043
376	629	1040
377	630	1037
378	631	1034
379	632	1031
380	633	1028
381	634	1025
382	635	1023
383	636	1020
384	636	1017
385	637	1014
386	638	1011
387	639	1009
388	640	1006
389	641	1003
390	642	1001
391	643	998
392	644	995
393	645	993
394	646	990
395	647	987
396	648	985
397	649	982
398	650	979
399	651	977
400	652	974
401	653	971
402	654	969
403	655	966
404	656	964
405	657	961
406	658	958
407	658	956
408	659	953
409	660	951
410	662	948
411	663	946
412	663	943
413	664	940
414	665	938
415	666	935
416	667	933
417	668	931
418	669	928
419	670	926
420	671	923
421	672	920
422	673	918
423	674	916
424	675	913
425	676	911
426	677	908
427	678	906
428	679	904
429	680	902
430	681	899
431	682	897
432	683	894
433	684	892
434	684	889
435	686	887
436	686	885
437	687	882
438	688	880
439	689	877
440	690	875
441	691	872
442	692	870
443	693	868
444	694	865
445	695	863
446	696	861
447	696	858
448	697	856
449	698	853
450	699	851
451	700	849
452	701	847
453	702	844
454	703	842
455	704	839
456	705	838
457	706	835
458	707	833
459	708	831
460	709	829
461	710	826
462	710	824
463	711	822
464	712	820
465	713	817
466	714	815
467	715	813
468	716	811
469	717	808
470	718	806
471	719	804
472	720	802
473	721	800
474	722	798
475	723	795
476	724	794
477	725	792
478	726	790
479	727	788
480	728	786
481	729	783
482	730	781
483	731	780
484	732	777
485	733	775
486	734	773
487	735	771
488	735	769
489	737	767
490	738	765
491	739	763
492	740	761
493	741	759
494	742	757
495	743	755
496	744	753
497	745	751
498	746	749
499	747	747
500	748	745
501	749	743
502	750	741
503	751	739
504	752	737
505	753	735
506	754	733
507	755	731
508	756	729
509	757	727
510	758	726
511	759	724
512	760	722
513	762	720
514	763	718
515	764	716
516	765	715
517	766	712
518	767	711
519	768	709
520	769	707
521	770	705
522	771	703
523	772	701
524	773	699
525	774	698
526	775	696
527	777	694
528	778	692
529	779	690
530	780	689
531	781	687
532	782	685
533	783	683
534	784	681
535	785	679
536	786	677
537	787	676
538	788	674
539	789	672
540	790	670
541	791	668
542	792	666
543	793	665
544	794	663
545	795	661
546	796	659
547	797	657
548	798	656
549	800	655
550	801	653
551	803	651
552	803	649
553	804	648
554	806	646
555	807	644
556	808	642
557	809	640
558	810	639
559	810	637
560	811	635
561	812	633
562	813	631
563	814	629
564	815	628
565	816	626
566	817	624
567	818	622
568	819	621
569	820	619
570	822	617
571	822	615
572	823	613
573	824	612
574	826	610
575	827	608
576	827	606
577	828	605
578	829	603
579	831	601
580	832	600
581	833	598
582	834	596
583	835	594
584	836	593
585	837	591
586	838	589
587	840	588
588	841	587
589	842	585
590	843	584
591	844	582
592	846	580
593	846	578
594	847	577
595	849	575
596	850	573
597	851	572
598	852	570
599	853	568
600	854	567
601	855	565
602	856	563
603	857	562
604	858	560
605	859	558
606	861	557
607	862	556
608	863	554
609	864	552
610	865	551
611	866	549
612	868	548
613	869	546
614	870	544
615	871	542
616	872	541
617	873	539
618	874	538
619	875	536
620	876	534
621	877	533
622	878	531
623	880	530
624	881	528
625	882	527
626	883	525
627	883	523
628	885	522
629	886	520
630	887	518
631	888	517
632	889	515
633	890	514
634	891	512
635	892	511
636	893	509
637	894	507
638	895	505
639	896	504
640	897	502
641	898	501
642	899	499
643	900	497
644	901	496
645	902	494
646	903	492
647	904	491
648	905	489
649	906	488
650	907	486
651	908	484
652	909	483
653	910	481
654	911	480
655	912	478
656	914	477
