iter	Passed	Remaining
0	146	146388
1	147	73536
2	148	49444
3	149	37264
4	150	29879
5	150	24969
6	151	21447
7	151	18813
8	152	16772
9	152	15128
10	153	13785
11	153	12665
12	154	11721
13	154	10916
14	155	10217
15	156	9601
16	156	9055
17	157	8573
18	157	8143
19	158	7752
20	158	7400
21	159	7079
22	159	6786
23	160	6517
24	160	6271
25	161	6047
26	161	5835
27	162	5637
28	162	5453
29	163	5282
30	163	5121
31	164	4971
32	164	4830
33	165	4698
34	165	4572
35	166	4454
36	166	4341
37	167	4234
38	167	4135
39	168	4041
40	169	3958
41	169	3876
42	170	3796
43	171	3717
44	171	3641
45	172	3569
46	172	3499
47	173	3432
48	173	3368
49	174	3308
50	174	3248
51	175	3192
52	175	3139
53	176	3087
54	176	3038
55	177	2989
56	177	2942
57	178	2896
58	178	2851
59	179	2808
60	179	2767
61	180	2727
62	180	2688
63	181	2651
64	181	2614
65	182	2579
66	182	2544
67	183	2510
68	183	2480
69	184	2449
70	184	2419
71	185	2390
72	185	2361
73	186	2333
74	187	2306
75	187	2279
76	188	2254
77	188	2229
78	189	2205
79	189	2180
80	190	2157
81	190	2134
82	190	2109
83	191	2089
84	192	2068
85	192	2048
86	193	2027
87	193	2007
88	194	1988
89	194	1969
90	195	1950
91	195	1933
92	196	1914
93	196	1898
94	197	1881
95	198	1864
96	198	1849
97	199	1835
98	199	1819
99	200	1804
100	201	1790
101	201	1776
102	202	1761
103	202	1747
104	203	1733
105	203	1719
106	204	1705
107	204	1692
108	205	1679
109	206	1667
110	206	1655
111	207	1643
112	207	1632
113	208	1620
114	209	1609
115	209	1597
116	210	1585
117	210	1574
118	211	1563
119	211	1552
120	212	1542
121	212	1530
122	213	1520
123	213	1510
124	214	1501
125	215	1491
126	215	1481
127	215	1471
128	216	1462
129	217	1452
130	217	1443
131	218	1434
132	218	1425
133	219	1415
134	219	1407
135	220	1398
136	220	1389
137	221	1382
138	221	1374
139	222	1366
140	222	1358
141	223	1349
142	223	1341
143	224	1333
144	224	1326
145	225	1318
146	225	1311
147	226	1303
148	227	1296
149	227	1289
150	228	1282
151	228	1276
152	229	1270
153	230	1264
154	230	1257
155	231	1250
156	231	1244
157	232	1237
158	232	1231
159	233	1225
160	233	1217
161	234	1211
162	234	1204
163	235	1198
164	235	1192
165	236	1186
166	236	1180
167	237	1174
168	237	1168
169	238	1162
170	238	1156
171	239	1150
172	239	1145
173	240	1140
174	240	1134
175	241	1129
176	241	1123
177	242	1118
178	242	1113
179	243	1108
180	243	1103
181	244	1098
182	245	1093
183	245	1089
184	246	1084
185	246	1079
186	247	1074
187	247	1069
188	248	1064
189	248	1059
190	249	1055
191	249	1050
192	250	1045
193	250	1040
194	251	1036
195	251	1032
196	252	1028
197	252	1024
198	253	1019
199	253	1015
200	254	1011
201	255	1007
202	255	1003
203	256	999
204	256	995
205	257	991
206	257	986
207	258	982
208	258	979
209	259	975
210	260	972
211	260	968
212	261	965
213	261	961
214	262	957
215	262	953
216	263	950
217	263	946
218	264	942
219	264	938
220	265	935
221	265	931
222	266	928
223	266	924
